trade_date,symbol,OPEN,HIGH,LOW,CLOSE
2022-03-22,000010.SH,8993.6267,9076.2059,8970.4039,9017.7617
2022-03-22,000016.SH,2893.5691,2921.7274,2885.0153,2900.7676
2022-03-22,000300.SH,4252.5658,4283.3344,4236.6888,4255.295
2022-03-22,000688.SH,1145.082,1149.4688,1131.875,1134.3184
2022-03-22,000852.SH,6938.9702,6976.3938,6893.6482,6923.4427
2022-03-22,000903.SH,4139.5838,4172.9904,4123.7543,4145.9103
2022-03-22,000905.SH,6343.4004,6404.827,6313.2741,6358.1093
2022-03-22,000906.SH,4599.0773,4635.0581,4580.8321,4603.8818
2022-03-22,399001.SZ,12350.7327,12410.4704,12269.1719,12318.7836
2022-03-22,399005.SZ,8393.8916,8417.1752,8319.4695,8349.7906
2022-03-22,399006.SZ,2718.002,2718.002,2676.8371,2688.2342
2022-03-22,399330.SZ,5668.1615,5686.5593,5624.0099,5645.875
2022-03-23,000009.SH,5937.4739,5985.1029,5920.1765,5969.7356
2022-03-23,000010.SH,9037.1267,9080.9403,8986.2183,9049.4764
2022-03-23,000016.SH,2908.9653,2928.4431,2890.4901,2916.5081
2022-03-23,000300.SH,4269.6088,4287.5771,4241.957,4276.5174
2022-03-23,000688.SH,1138.7304,1150.2031,1130.2245,1144.0887
2022-03-23,000852.SH,6938.5127,6989.722,6910.325,6966.9526
2022-03-23,000903.SH,4162.0835,4182.259,4133.0655,4168.9834
2022-03-23,000905.SH,6368.3126,6420.1586,6353.3361,6398.1009
2022-03-23,000906.SH,4617.4201,4640.3947,4592.5093,4628.2853
2022-03-23,399001.SZ,12373.5091,12436.206,12291.3651,12408.6507
2022-03-23,399005.SZ,8388.9852,8427.9707,8328.599,8386.3026
2022-03-23,399006.SZ,2707.5652,2725.5571,2682.1315,2715.9539
2022-03-23,399330.SZ,5677.7053,5700.8202,5633.0293,5689.8108
2022-03-24,000009.SH,5946.8546,5965.9071,5894.7517,5931.2205
2022-03-24,000010.SH,8990.9302,9045.4304,8944.9637,9000.5755
2022-03-24,000016.SH,2898.1436,2918.3029,2885.3722,2903.617
2022-03-24,000300.SH,4249.5328,4273.9568,4216.8506,4251.3061
2022-03-24,000688.SH,1135.8469,1141.7551,1121.6449,1134.57
2022-03-24,000852.SH,6934.1254,6950.7437,6847.1719,6900.8066
2022-03-24,000903.SH,4142.7643,4167.2608,4113.4986,4145.9679
2022-03-24,000905.SH,6370.971,6384.4046,6315.1424,6344.115
2022-03-24,000906.SH,4601.3875,4623.6476,4564.9763,4598.1667
2022-03-24,399001.SZ,12339.1438,12384.7789,12188.5751,12305.5042
2022-03-24,399005.SZ,8331.4655,8351.8035,8227.5549,8298.3631
2022-03-24,399006.SZ,2697.4251,2725.2841,2655.9183,2706.2149
2022-03-24,399330.SZ,5653.9646,5686.4358,5585.5252,5651.4638
2022-03-25,000009.SH,5926.9197,5947.7936,5849.4198,5849.4198
2022-03-25,000010.SH,8990.6865,9013.5858,8853.994,8857.3073
2022-03-25,000016.SH,2898.4911,2910.9168,2855.3287,2856.4277
2022-03-25,000300.SH,4249.0731,4254.8449,4173.93,4174.5742
2022-03-25,000688.SH,1137.7967,1140.9204,1106.3626,1106.8627
2022-03-25,000852.SH,6906.6791,6939.8718,6819.5546,6819.8127
2022-03-25,000903.SH,4141.5416,4150.5067,4067.2227,4068.352
2022-03-25,000905.SH,6346.7106,6373.4658,6268.2376,6268.2376
2022-03-25,000906.SH,4596.7841,4604.0318,4521.9026,4521.9026
2022-03-25,399001.SZ,12315.3498,12330.9486,12072.7276,12072.7276
2022-03-25,399005.SZ,8316.1326,8317.4243,8134.0771,8137.6885
2022-03-25,399006.SZ,2702.6527,2714.1509,2637.944,2637.944
2022-03-25,399330.SZ,5653.9767,5653.9767,5523.5364,5523.5364
2022-03-28,000009.SH,5810.5931,5877.4992,5751.1632,5841.4769
2022-03-28,000010.SH,8749.7806,8888.2736,8689.4651,8847.6337
2022-03-28,000016.SH,2817.2602,2866.0665,2798.6997,2853.1819
2022-03-28,000300.SH,4128.8379,4174.1206,4091.2978,4148.4663
2022-03-28,000688.SH,1097.8697,1101.3291,1085.2738,1090.7343
2022-03-28,000852.SH,6772.4442,6828.3971,6692.9086,6767.2513
2022-03-28,000903.SH,4021.4891,4067.4147,3983.3869,4044.3199
2022-03-28,000905.SH,6230.1211,6322.1284,6176.2482,6283.2814
2022-03-28,000906.SH,4477.6837,4530.8737,4437.5829,4503.0712
2022-03-28,399001.SZ,11968.9972,12053.2013,11835.3339,11949.9399
2022-03-28,399005.SZ,8060.3101,8112.5697,7975.3105,8042.8252
2022-03-28,399006.SZ,2622.4676,2622.5884,2576.2332,2594.1284
2022-03-28,399330.SZ,5471.8212,5497.6281,5408.2836,5447.6368
2022-03-29,000009.SH,5845.6444,5871.9437,5801.6507,5823.9411
2022-03-29,000010.SH,8857.9154,8902.1317,8798.5307,8814.9265
2022-03-29,000016.SH,2854.8023,2873.6111,2837.6965,2842.1531
2022-03-29,000300.SH,4155.4182,4177.2134,4124.7179,4134.1441
2022-03-29,000688.SH,1097.3573,1099.2434,1078.3421,1079.933
2022-03-29,000852.SH,6785.378,6808.8779,6700.4099,6725.677
2022-03-29,000903.SH,4048.7375,4073.7979,4018.9784,4028.3012
2022-03-29,000905.SH,6289.4756,6316.3129,6233.2822,6253.0692
2022-03-29,000906.SH,4509.8623,4531.758,4474.9246,4486.0408
2022-03-29,399001.SZ,11983.5403,12050.8547,11857.3681,11895.0771
2022-03-29,399005.SZ,8078.0956,8123.0549,7981.9157,8021.0484
2022-03-29,399006.SZ,2603.4247,2633.4491,2581.3789,2592.6659
2022-03-29,399330.SZ,5462.9706,5498.6652,5410.7029,5428.2114
2022-03-30,000009.SH,5840.3358,5940.8079,5835.2879,5940.8017
2022-03-30,000010.SH,8871.242,9028.1932,8865.4501,9028.1932
2022-03-30,000016.SH,2864.241,2915.4906,2861.5462,2915.4906
