,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1897,002973.SZ,20200217,59206,13668.23,52077,12043.47,59125,13671.24,65316,15081.1,34320,7933.79,39684,9166.39,7200,1655.54,2773,637.83,-20693,-4731.95
1898,300637.SZ,20200217,20914,2487.81,24829,2955.8,31273,3720.39,31156,3707.88,16255,1933.92,18011,2142.02,6518,778.9,965,115.32,1822,223.49
1899,002376.SZ,20200217,76717,9849.21,73932,9502.31,115726,14837.51,87562,11240.05,74998,9588.45,104451,13354.49,25432,3256.19,26928,3434.5,93847,12079.31
1900,002530.SZ,20200217,58107,8766.2,63868,9662.9,71579,10815.53,75193,11381.0,60292,9113.74,58408,8817.52,43411,6592.78,35920,5426.82,24677,3787.15
1901,600037.SH,20200217,34539,3152.42,44689,4081.36,73196,6675.41,82601,7533.83,77774,7106.24,57041,5204.51,10904,999.85,12082,1114.22,36291,3323.28
1902,601999.SH,20200217,91125,7710.06,75555,6401.86,114316,9680.65,123341,10444.33,85327,7229.57,92514,7833.83,11012,935.94,10371,876.2,12303,1072.17
1903,002661.SZ,20200217,34001,4989.21,44097,6505.04,62048,9134.77,71075,10466.38,52893,7786.23,42848,6292.53,21707,3223.8,12630,1870.06,29146,4342.75
1904,300325.SZ,20200217,178897,5248.33,163132,4792.7,163642,4796.56,184172,5403.98,101965,3004.58,102412,3010.26,42311,1255.28,37100,1097.81,109305,3226.67
1905,600168.SH,20200217,113805,9339.27,86700,7142.53,164317,13508.24,140430,11547.84,78266,6449.06,117301,9623.35,17931,1471.9,29887,2454.75,-41502,-3339.5
1906,600322.SH,20200217,52071,1365.78,38832,1021.8,71104,1864.41,53982,1417.09,65584,1722.61,79653,2089.58,8355,219.51,24648,643.84,36484,964.41
1907,601015.SH,20200217,24618,698.39,26594,755.79,29934,850.3,34633,982.61,14919,423.76,8244,234.04,0,0.0,0,0.0,10222,293.42
1908,002792.SZ,20200217,24768,6385.61,32734,8449.23,34204,8821.51,38098,9830.11,31764,8198.08,25740,6642.55,9127,2362.01,3290,845.33,13092,3402.19
1909,300456.SZ,20200217,113475,37911.7,76943,25803.75,154477,51749.92,135682,45455.94,130323,43649.8,138879,46538.81,36875,12385.71,83646,27898.62,15646,5478.86
1910,300610.SZ,20200217,6908,769.5,6390,711.92,7873,877.05,9048,1007.49,2190,243.95,1961,219.03,428,47.94,0,0.0,674,75.28
1911,000557.SZ,20200217,32033,932.58,21568,628.46,20665,601.58,17848,519.95,8226,239.28,19403,563.53,0,0.0,2106,61.49,7555,221.39
1912,000711.SZ,20200217,37036,1586.25,34622,1486.48,30155,1291.44,38689,1658.7,17121,736.34,12428,530.64,3881,167.56,2454,105.77,16185,695.78
1913,688007.SH,20200217,14138,4575.94,20686,6734.97,26441,8577.68,28808,9357.68,24583,8019.2,19317,6286.64,5059,1668.46,1410,461.99,13232,4341.72
1914,000688.SZ,20200217,7343,1080.98,8899,1310.48,11654,1714.84,10181,1498.99,12246,1804.51,13163,1938.52,10890,1607.41,9890,1459.74,2624,390.35
1915,002228.SZ,20200217,31981,1160.47,43973,1600.25,30639,1113.5,36693,1333.15,22740,827.98,19447,707.32,14753,538.77,0,0.0,26987,983.43
1916,603188.SH,20200217,4419,293.83,5809,386.69,5587,371.2,8309,552.01,7194,479.61,3035,202.84,1843,121.82,1890,124.93,7973,530.51
1917,688138.SH,20200217,30300,7331.26,21365,5209.43,61205,14848.76,53101,12896.33,63016,15256.91,65555,15882.55,7153,1737.99,21653,5186.61,-18755,-4471.42
1918,000973.SZ,20200217,109901,5448.45,153299,7606.88,154260,7653.43,142802,7092.46,116248,5768.6,98821,4900.32,22823,1136.24,8310,407.05,35448,1788.79
1919,002359.SZ,20200217,47012,880.61,57080,1072.76,42415,794.49,46079,863.69,32289,605.01,18557,343.67,0,0.0,0,0.0,24084,454.98
1920,002513.SZ,20200217,52231,3495.51,62573,4205.7,50432,3380.51,70146,4717.75,42417,2861.33,32621,2192.53,46935,3191.99,26674,1813.36,-40588,-2765.95
1921,002644.SZ,20200217,26890,2159.71,19513,1568.54,26204,2106.34,28200,2265.81,8496,682.92,10659,855.89,0,0.0,3218,258.73,-1406,-108.53
1922,300308.SZ,20200217,25338,16596.82,25250,16587.53,35176,23045.73,37776,24768.22,29135,19100.0,29676,19424.17,8131,5342.68,5077,3305.3,6076,4018.52
1923,600305.SH,20200217,49792,8329.19,48540,8144.33,52240,8747.62,59167,9910.97,33041,5542.12,30002,5021.94,17339,2915.92,14703,2457.61,18390,3109.09
1924,002884.SZ,20200217,7558,1267.41,7378,1239.4,8998,1512.62,11477,1930.05,5085,857.05,3674,617.04,1487,249.91,600,100.5,2733,461.0
1925,300548.SZ,20200217,2442,2242.99,2719,2494.1,3897,3578.92,4003,3667.25,3350,3088.69,3345,3087.7,1606,1478.21,1228,1139.75,1477,1377.17
1926,300702.SZ,20200217,7139,3836.21,7345,3949.05,9411,5061.57,9940,5345.82,5702,3067.12,4963,2667.48,1098,590.28,1102,592.84,3569,1920.42
1927,600545.SH,20200217,40591,2355.63,28114,1634.54,48485,2814.16,47409,2752.76,38374,2228.68,42396,2458.59,0,0.0,9531,552.57,14597,852.23
1928,601238.SH,20200217,79779,8683.12,80109,8694.65,81066,8816.17,106551,11551.73,77871,8420.01,68363,7419.9,41110,4461.12,24804,2714.13,96570,10502.54
1929,000409.SZ,20200217,12402,593.14,14870,717.86,22814,1096.5,25010,1204.56,20163,973.69,17855,853.57,2357,112.65,0,0.0,23256,1120.73
1930,300679.SZ,20200217,13459,5265.97,12457,4880.06,18301,7162.22,21831,8538.49,22636,8864.8,18479,7249.2,12479,4897.53,14108,5522.76,14600,5729.16
1931,600676.SH,20200217,28802,1142.01,35406,1407.58,38507,1526.28,61275,2433.34,58679,2335.81,32236,1281.01,2929,117.82,0,0.0,43167,1712.16
1932,600830.SH,20200217,18199,941.23,20531,1063.24,30998,1604.52,31028,1606.22,30966,1605.15,33025,1710.2,4421,228.77,0,0.0,8400,441.73
1933,601369.SH,20200217,21335,1274.54,23660,1421.13,33667,2014.03,38787,2325.02,28625,1719.24,26949,1612.51,7769,468.93,2000,118.07,20492,1234.04
1934,002031.SZ,20200217,100013,1836.05,132414,2434.22,108618,1994.01,98028,1804.01,63926,1179.88,62677,1152.19,20562,380.47,0,0.0,71399,1322.16
1935,600961.SH,20200217,12033,873.63,12800,930.11,12692,922.67,9659,701.47,6035,439.1,7503,545.89,2200,159.28,2998,217.22,-1943,-139.68
1936,000825.SZ,20200217,85478,3033.63,85046,3022.81,102680,3642.89,83309,2957.74,92154,3271.93,79521,2819.63,31188,1109.01,63625,2257.27,95581,3404.25
1937,002963.SZ,20200217,8445,2459.08,7328,2137.19,9194,2680.37,8016,2335.53,3650,1064.81,5557,1619.16,0,0.0,387,112.38,2498,731.41
