,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
122,000533.SZ,20200828,3.1,1.5562,2.5527,0.86,732.2887,262.6002,3.4953,1.5589,1.5852,0.0,,69081.6,68490.24,41752.8232,214152.96,212319.744
123,000534.SZ,20200828,15.26,2.8793,6.1083,1.31,106.1843,77.6827,7.7496,13.6763,12.7316,0.3277,0.3277,49178.5096,49150.7596,23168.827,750464.0565,750040.5915
124,000536.SZ,20200828,1.99,0.9878,2.0739,0.74,,,1.2306,3.734,3.755,0.0,,276603.2803,276308.1622,131605.7814,550440.5278,549853.2428
125,000537.SZ,20200828,7.88,6.3099,8.5618,4.19,4.6709,4.9427,1.0726,0.6385,0.5971,1.6497,3.8071,186252.072,40594.5814,29917.4047,1467666.3274,319885.3014
126,000538.SZ,20200828,114.6,2.3194,3.0352,2.67,34.9904,31.6896,4.1418,4.9348,4.81,1.4228,2.6178,127740.3317,60216.6957,46016.8015,14639042.0128,6900833.3272
127,000539.SZ,20200828,3.9,0.2563,0.8034,0.71,17.8555,14.8498,0.7769,0.6974,0.7054,1.5385,3.0769,525028.3986,255390.704,81487.7035,2047610.7545,996023.7456
128,000540.SZ,20200828,3.59,0.5952,1.1107,0.98,22.6908,46.0738,1.3677,1.9995,2.4793,1.3928,,700525.4679,696781.5997,373375.2758,2514886.4298,2501445.9429
129,000541.SZ,20200828,6.08,0.5589,1.1108,1.12,28.2487,29.856,1.6253,2.5492,2.6811,2.5658,3.0428,139934.6154,107239.3367,53959.5821,850802.4616,652015.1671
130,000543.SZ,20200828,4.23,0.696,1.2707,1.2,12.3906,12.6495,0.7209,0.5959,0.6202,0.8216,2.8132,226686.3331,179039.5978,98063.3989,958883.189,757337.4987
131,000544.SZ,20200828,7.57,0.9165,2.9304,0.55,15.8819,13.0363,1.2311,4.2411,3.9411,3.3025,3.3025,97468.4488,97468.4488,30482.9341,737836.1574,737836.1574
132,000545.SZ,20200828,2.72,1.0306,1.5594,1.41,107.3204,,1.3014,1.4241,1.5065,0.0,0.7353,98683.3096,95940.3096,63403.2848,268418.6021,260957.6421
133,000546.SZ,20200828,9.27,1.0575,1.5946,0.63,13.1637,13.0601,1.5547,0.8107,0.8092,0.5394,0.863,71464.4396,68848.3928,45657.63,662475.3551,638224.6013
134,000547.SZ,20200828,19.0,3.6354,3.6607,1.03,45.1719,39.8879,3.9425,7.5516,6.8103,0.0,0.4632,160542.1646,120540.5063,119705.6318,3050301.1274,2290269.6197
135,000548.SZ,20200828,4.16,0.9978,1.4742,0.67,37.5163,62.6245,1.2273,7.2158,8.1968,0.4808,,49921.5811,49918.8811,33788.2354,207673.7774,207662.5454
136,000550.SZ,20200828,14.73,1.5692,4.952,1.15,86.0223,42.852,1.2103,0.4358,0.4307,0.2716,0.4752,86321.4,51846.316,16428.716,1271514.222,763696.2347
137,000551.SZ,20200828,9.44,1.1025,1.7166,0.9,33.4508,31.6568,2.053,1.1667,1.2195,0.0,,40008.0405,40008.0405,25695.5351,377675.9023,377675.9023
138,000552.SZ,20200828,2.53,0.6426,1.2957,1.2,11.0265,11.0193,0.7442,1.4265,1.4777,3.9526,3.9526,228697.105,228374.1262,113253.5682,578603.6757,577786.5393
139,000553.SZ,20200828,9.27,0.1813,1.1311,0.76,78.4361,,0.9585,0.7884,0.7742,1.0956,0.1355,234412.1302,217706.7461,34892.95,2173000.447,2018141.5363
140,000554.SZ,20200828,5.15,2.0542,2.0542,0.88,417.8841,518.6846,2.7316,0.8466,0.9845,0.0,,48079.3318,36264.9711,36264.9711,247608.5588,186764.6012
141,000555.SZ,20200828,17.34,2.6747,5.8708,0.91,44.7978,41.7358,3.1369,1.6584,1.6195,0.2004,0.2249,97038.1273,95568.4835,43539.9406,1682641.1274,1657157.5039
142,000557.SZ,20200828,3.62,0.985,1.7974,0.5,117.8619,100.9257,1.0457,6.5999,6.6023,0.0,,145837.4735,145791.6198,79893.2347,527931.6541,527765.6637
143,000558.SZ,20200828,3.11,1.1779,2.4529,0.39,154.0364,89.7782,3.1617,29.0863,28.7418,0.0,,128922.3949,128841.9854,61869.4701,400948.6481,400698.5746
144,000559.SZ,20200828,5.71,0.3608,0.8296,0.82,29.3277,38.8614,3.0045,1.4857,1.6012,3.5026,1.0508,275315.9454,275314.7124,119737.7737,1572054.0482,1572047.0078
145,000560.SZ,20200828,4.39,0.929,1.2762,0.52,12.497,21.2349,1.0282,0.9223,1.0925,1.5709,1.5709,235550.0851,191741.4419,139573.8663,1034064.8736,841744.9299
