code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
002136.SZ,82.4983,83.641,56.3709,40.7352,37.4924,37.3147,43.7115,46.7882,43.7378,43.6252,52.0861,44.6033
002135.SZ,24.5432,27.0905,32.3301,37.1025,27.1303,26.947,30.7966,27.811,24.438,23.3011,24.7022,19.1587
002137.SZ,,50.0382,45.9987,73.4779,79.8858,80.7402,89.7114,276.1619,236.0472,8127.1807,8208.221,7201.0063
002138.SZ,49.3135,51.6312,40.5678,42.9304,46.5291,48.7979,49.1845,43.0028,40.6487,40.6172,40.1601,38.647
601919.SH,23.4458,19.9413,7.4491,6.9303,6.0833,6.6801,8.3357,10.0077,10.5412,12.0313,14.2942,17.5939
002139.SZ,19.6454,20.1181,16.6908,16.4819,15.8922,16.9779,17.9429,20.2653,19.08,21.0125,21.8704,21.9417
601168.SH,,,13.4159,15.5963,15.7959,16.5372,25.2613,24.9502,26.568,20.9165,32.3128,28.6762
002140.SZ,23.5495,24.8327,20.0335,21.4248,20.4133,20.0455,21.0573,22.5216,20.5594,18.1184,19.6882,18.3845
002142.SZ,11.6823,10.9144,9.464,10.2329,10.7388,11.0155,12.1477,14.4957,12.8542,14.3033,15.5324,14.8757
601009.SH,5.6627,5.3135,4.9643,5.973,6.1361,5.6934,6.0273,6.7178,6.1704,6.0505,6.8177,6.3906
002141.SZ,,,571.8757,572.101,597.2271,595.2943,649.4119,,,,,
002145.SZ,16.2152,16.3388,15.4147,14.9598,14.5662,14.8286,19.1263,20.1237,24.3735,24.9199,27.0265,24.8751
002144.SZ,19.5216,18.5482,18.2458,20.6713,21.0429,20.8339,22.6456,24.9477,25.475,33.1343,34.9232,33.9086
002146.SZ,4.5211,4.0892,3.7023,3.8198,3.6736,3.8198,3.8764,3.9279,3.6372,3.539,3.6799,3.2873
002148.SZ,252.4111,246.3289,,,,,,,,,,
002149.SZ,48.5393,47.5473,46.4783,61.3153,65.2113,64.0982,72.2612,65.6475,66.7416,63.5688,77.7535,137.2695
002150.SZ,16.0253,13.7546,13.8008,13.563,14.0499,16.3452,16.1749,16.4287,14.4674,15.651,16.6583,15.7001
002151.SZ,234.4516,,,,,,,,,,,
002153.SZ,85.4773,88.322,80.85,98.4807,95.365,125.4989,118.1677,161.9147,188.4904,293.679,266.0968,247.9267
002152.SZ,33.5684,29.8087,27.4278,44.906,38.8636,44.4254,49.4378,48.2479,41.9022,38.6155,38.9832,35.7068
002155.SZ,47.7355,58.2781,59.128,122.5697,127.2405,126.9184,157.0373,68.3812,61.2059,38.0588,39.4327,38.9747
002156.SZ,,,1133.1272,435.2999,446.1443,476.5849,511.211,131.922,126.8246,93.2223,114.0287,108.8123
002154.SZ,25.1032,26.8722,25.9455,18.7929,18.8591,20.5134,21.4398,20.1482,18.0482,14.5703,15.248,14.1044
002158.SZ,21.7931,28.9352,25.359,26.823,23.9145,30.4856,29.5122,28.9136,24.2843,23.3655,23.9568,25.4773
002159.SZ,,154.566,138.367,,,,,,,,,
002157.SZ,163.0064,21.8766,28.7121,15.618,13.0695,14.7486,18.2022,14.3422,10.512,6.1267,6.6856,6.1052
002161.SZ,11.5468,9.2953,7.4329,10.5639,9.4148,10.4463,10.1199,11.7605,10.1759,,,
002160.SZ,,,154.4083,133.2826,118.3482,123.9838,146.8081,,,,,
002162.SZ,77.4705,74.3437,72.5897,100.5758,98.6292,97.007,112.58,62.0739,58.605,49.7635,50.9626,63.1037
002164.SZ,5.2832,5.0929,4.9905,,,,,3.3227,2.7293,2.2916,2.182,2.3504
002163.SZ,60.8882,96.4815,114.366,59.1535,74.8349,78.7552,145.3139,131.0669,124.6338,150.9401,170.5361,176.7866
002166.SZ,90.9895,74.8733,65.1364,39.5406,37.9143,40.303,50.7217,45.8915,40.7485,42.1728,43.7348,43.8389
002167.SZ,1166.2174,1166.2174,,,,,,,,,,
002165.SZ,30.1054,31.2686,31.8303,30.411,27.8338,28.3492,33.5542,36.6796,35.5591,33.1004,37.105,35.353
002168.SZ,58.6932,63.362,42.9062,41.0702,41.3059,48.3768,50.4981,55.3272,53.734,86.5212,82.0744,53.9963
002170.SZ,234.9535,231.787,114.8691,78.94,74.0551,74.6413,91.8362,96.1805,84.683,87.1152,64.4495,72.3284
601169.SH,5.3399,5.0345,4.7586,4.8357,4.7386,4.758,4.69,5.1263,4.9263,4.9157,5.1778,5.1353
002169.SZ,139.8431,64.6271,64.4854,77.2602,91.0601,95.3361,92.9066,76.0071,70.1475,55.2045,56.1605,59.5062
002171.SZ,20.1103,22.4021,21.3708,38.2133,39.2082,42.2381,41.2432,40.8469,43.7677,41.2573,42.6663,37.603
002174.SZ,23.8569,23.2626,30.3356,36.9843,38.0779,51.8576,44.8032,54.9384,46.5047,128.5963,135.2478,108.0671
601939.SH,6.5537,6.1118,5.9425,5.9392,5.8838,5.8283,5.6528,6.1961,6.1461,6.361,7.2307,6.3509
601808.SH,31.8453,29.2141,22.2729,16.3865,16.5716,17.3644,18.2895,19.4342,17.0509,20.4166,24.5901,24.0074
601088.SH,7.5244,6.967,7.4684,7.8291,8.0502,7.0574,7.5342,8.1033,8.2587,8.3366,9.8236,9.0175
002175.SZ,,,9.2552,9.0054,7.2043,6.6963,6.5578,6.4136,5.7592,5.4974,,
