code,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
300241.SZ,0.1622,0.1725,0.2006,0.1921,0.1942,,,,,,,
002600.SZ,,,,,,,,,1.7873,1.5349,1.4075,1.6677
002601.SZ,5.2502,5.4417,5.6932,5.102,5.4417,5.6757,4.4529,4.4738,4.5084,4.2441,3.3123,3.2824
300246.SZ,0.6061,0.5663,0.4634,0.4682,0.5053,0.5701,0.5062,0.5103,0.5734,0.6369,0.7138,0.7698
300244.SZ,0.1022,0.0978,0.1065,0.0995,0.1,,0.3413,0.2986,0.3227,0.3283,0.3861,0.3734
300245.SZ,0.4188,0.3887,0.4608,0.4561,0.4274,0.2432,0.2463,0.1956,0.2277,0.2131,0.2339,0.2703
002602.SZ,0.3016,0.2848,0.3102,0.2636,0.2735,,,,,,,
002603.SZ,0.6131,0.6165,0.4432,0.3457,0.364,0.9547,0.6227,0.6938,0.7352,0.744,0.7884,0.7776
300248.SZ,0.4049,0.3075,0.4061,0.3322,0.3714,0.4854,0.4605,0.4164,0.4601,0.4979,0.578,0.6764
300249.SZ,0.242,0.242,0.2185,0.2296,0.2345,,,,,,,
300251.SZ,0.473,0.4613,0.5612,0.4704,0.8584,0.4583,0.3759,0.3086,0.3001,0.4112,0.3855,0.4143
002605.SZ,0.2607,0.2797,0.3326,0.3552,0.3388,1.3141,1.086,1.1399,1.3319,1.3335,1.4624,1.6213
002606.SZ,,,,,,,0.14,0.142,0.1614,0.1685,0.1692,0.1467
601222.SH,3.3491,3.3491,3.3426,3.3556,3.4288,3.181,0.5698,0.6732,0.6922,0.6235,0.6569,0.6188
002607.SZ,1.3723,1.0952,1.0101,0.8918,0.8163,0.8649,0.7509,0.6721,0.7355,0.6073,0.6652,0.6832
601901.SH,0.3229,0.3547,0.3616,0.3647,0.3752,0.3667,0.3026,,,,,
601636.SH,5.4481,5.2629,6.0923,5.5942,,4.9661,3.2316,3.4884,3.4597,3.2036,2.5331,2.2976
002609.SZ,1.3859,1.3258,1.4997,1.4406,1.5978,0.2353,0.221,0.213,0.242,0.2763,0.2819,0.3225
601789.SH,1.8182,1.7588,1.6908,1.4403,1.3861,2.1008,1.9685,2.0576,2.3364,2.381,2.331,2.5063
300253.SZ,0.1242,0.0769,0.0943,0.0778,0.0848,0.1501,0.0833,0.0907,0.0989,0.1081,0.122,0.1098
601886.SH,3.7955,4.5173,4.7428,4.5877,5.2501,5.1222,4.7352,4.7352,5.1222,5.1222,4.72,5.0693
300252.SZ,0.4837,0.4932,0.5011,0.5425,0.5698,0.5216,,,,,,
300257.SZ,0.998,1.0406,1.0194,0.9416,0.9363,,,,,,,
300254.SZ,0.2323,0.2395,0.2667,0.2976,0.3101,0.2963,,,,,,
300255.SZ,0.4844,0.51,0.5385,0.5157,0.5263,0.4853,0.2009,0.1726,0.1932,0.2006,0.197,0.2104
300258.SZ,1.3863,1.171,1.4663,1.5106,,0.9497,0.7634,0.692,0.6605,0.5995,0.4957,0.5202
