,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
40,301021.SZ,20210616,20210616,20200331,1,1,1,-0.0373,-0.0373,43005210.93,43005210.93,,,,,,,,,,,,,,,,,,,49869442.07,21568565.01,,,462499.95,4416549.72,8007795.15,1399949.62,-2823094.43,,,,,,,,,,,-4780987.92,23336.04,5078.23,,-4762730.11,-94777.0,-4667953.11,-4236300.0,-431653.11,646377.11,-4021576.0,-3632039.07,-389536.93,,,,,,10778757.97,1355568.33,74896.45,,,,,,,,,,,,,,,0
41,301022.SZ,20210616,20210616,20200331,1,1,1,0.2907,0.2907,99305021.97,99305021.97,,,,,,,,,,,,,,,,58559.61,,,83033618.25,71823366.27,,,686006.0,3175502.33,3226948.62,366092.36,,,,,,,,,,,,16556729.63,16.62,3779.49,,16552966.76,2600743.47,13952223.29,13952255.16,-31.87,-1561463.08,12390760.21,12390823.31,-63.1,,,,,,3947508.19,309777.29,127694.53,,,,,,,,,,,,,,,0
42,001219.SZ,20210610,20210610,20200331,1,1,1,0.28,0.28,119498478.05,119498478.05,,,,,,,,,,,,,,,1201424.66,3501927.38,,,99140316.96,83549700.8,,,1421872.07,4240686.74,10092688.69,-114861.14,,,,,,,,,,,,25122990.92,,,,25122990.92,6447720.56,18675270.36,18675270.36,,,18675270.36,18675270.36,,,,,,,418871.43,,90862.69,,,,,,,,,,,,,,,1
43,688621.SH,20210601,20210601,20200331,1,1,1,0.29,0.29,73769456.13,73769456.13,,,,,,,,,,,,,,,,,,,54580009.93,40311531.92,,,81861.79,1121227.93,8551144.46,218342.23,,,,,,,,,,,,19231272.27,,270237.29,,18961034.98,2399401.35,16561633.63,17254226.09,-692592.46,,16561633.63,17254226.09,-692592.46,,,,,,3981498.49,253440.92,44440.55,,,,,,,,,,,,,,,0
44,301016.SZ,20210610,20210610,20200331,1,1,1,0.3,0.3,108598875.91,108598875.91,,,,,,,,,,,,,,,,,,,77379864.61,63679488.91,,,623753.16,1932493.38,6812119.49,832624.2,-462124.09,,,,,,,,,,,31659636.3,79379.0,6820.31,,31732194.99,4561017.31,27171177.68,27171177.68,,,27171177.68,27171177.68,,,,,,,2818863.24,487054.17,27727.37,,,,,,,,,,,,,,,0
45,301017.SZ,20210610,20210610,20200331,1,1,1,0.03,0.03,1120011906.83,1120011906.83,,,,,,,,,,,,,,,-200000.0,-282554.51,-283611.36,,1101070472.88,804118523.62,,,4941813.38,218393907.27,27589951.04,2714230.16,-2611054.33,,,,,,,,,,,20328993.11,3076574.92,427440.53,,22978127.5,9671612.54,13306514.96,12732253.07,574261.89,,13306514.96,12732253.07,574261.89,,,,,,,1796312.5,1275116.31,,,,,,,,,,,,,,,0
46,688216.SH,20210602,20210602,20200331,1,1,1,0.02,0.02,79370275.94,79370275.94,,,,,,,,,,,,,,,,,,,79146538.44,64564682.58,,,472360.75,1495969.23,4095464.83,1122531.2,190639.92,,,,,,,,,,,1061309.03,14713.5,100000.0,,976022.53,-438978.58,1415001.11,1415001.11,,,1415001.11,1415001.11,,,,,,,6959998.6,914319.02,57052.11,,,,,,,,,,,,,,,0
47,688276.SH,20210604,20210604,20200331,1,1,1,0.14,0.14,199197435.32,199197435.32,,,,,,,,,,,,,,,,,,,141227305.84,23973169.9,,,2096539.97,75142996.34,21986643.36,1847555.35,,,,,,,,,,,,58383649.92,120766.56,52535.1,,58451881.38,8580152.02,49871729.36,49871729.36,,-359509.38,49512219.98,49512219.98,,,,,,,18562655.3,2097517.68,204629.57,,,,,,,,,,,,,,,0
48,301015.SZ,20210609,20210609,20200331,1,1,1,-0.09,,967320006.09,967320006.09,,,,,,,,,,,,,,,,238600.21,160928.96,,1014225168.33,801640060.22,,,2848396.3,161996060.0,35718547.31,10047106.09,-435428.77,,,,,,,,,,,-45166562.03,1604720.2,353849.41,,-43915691.24,2070222.59,-45985913.83,-44663284.75,-1322629.08,-4547102.15,-50533015.98,-46875252.43,-3657763.55,,,,,,,13633183.02,3977956.45,,,,,,,,,,,,,,,1
49,601921.SH,20210610,20210610,20200331,1,1,1,-0.05,-0.05,1057705030.39,1057705030.39,,,,,,,,,,,,,,,,7878719.22,,,1168656904.75,783654909.6,,,6167702.1,205958420.74,138915631.4,-15906300.56,-50559328.01,,,,,,,,,,,-98564918.79,2414633.82,389448.83,,-96539733.8,317705.04,-96857438.84,-91390786.89,-5466651.95,-878009.52,-97735448.36,-91917592.6,-5817855.76,,,,,,1243767.99,1203340.08,16153726.68,,,,,,,,,,,,,,,0
50,301023.SZ,20210623,20210623,20200331,1,1,1,0.36,0.36,27710848.69,27710848.69,,,,,,,,,,,,,,,-462300.0,186840.97,,,15933733.24,13403199.71,,,527399.59,431217.9,1637268.02,-1258343.19,-231899.43,,,,,,,,,,,11694779.06,,,,11694779.06,1579990.66,10114788.4,10114788.4,,,10114788.4,10114788.4,,,,,,,1423081.08,,279343.49,,,,,,,,,,,,,,,1
