"Date","Open","High","Low","Close","Volume","Adj Close"
2016-02-17,127.6595,129.3795,127.5995,129.0995,19640000,129.0995
2016-02-18,129.5673,133.8373,129.3773,131.4473,28408000,131.4473
2016-02-19,131.4851,132.8651,129.3751,130.0951,14311000,130.0951
2016-02-22,132.7385,133.7485,131.9785,133.1485,39056000,133.1485
2016-02-23,133.3663,133.3663,129.0663,129.3763,13846000,129.3763
2016-02-24,129.1741,130.1341,126.2141,127.3241,11102000,127.3241
2016-02-25,127.1919,127.2419,123.8619,123.9119,9544000,123.9119
2016-02-26,124.8597,124.8597,120.6597,120.6797,44648000,120.6797
2016-02-29,121.6553,121.6553,118.8653,121.1353,19462000,121.1353
2016-03-01,121.7532,124.3532,120.4832,121.4132,56842000,121.4132
2016-03-02,121.731,129.461,121.451,127.471,146142000,127.471
2016-03-03,128.2488,134.4488,126.5488,126.7188,211635000,126.7188
2016-03-04,126.9066,129.2666,125.6466,126.7866,101469000,126.7866
2016-03-07,127.34,130.95,127.22,128.67,51569000,128.67
2016-03-08,129.6378,129.6378,126.2178,127.5378,51984000,127.5378
2016-03-09,127.1156,127.6356,125.8356,127.0056,23212000,127.0056
2016-03-10,128.6334,128.6334,125.3734,125.4934,30385000,125.4934
2016-03-11,125.5312,126.2212,124.0812,124.5012,28213000,124.5012
2016-03-14,125.0047,127.6247,125.0047,126.0947,55502000,126.0947
2016-03-15,126.3225,126.3225,125.4925,125.7725,16399000,125.7725
2016-03-16,126.0203,126.5703,125.3903,125.9303,33723000,125.9303
2016-03-17,126.2881,127.8181,126.0181,127.7981,32700000,127.7981
2016-03-18,127.8159,131.3359,127.8159,131.2059,57153000,131.2059
2016-03-21,131.8193,133.8093,130.0093,130.1993,33583000,130.1993
2016-03-22,130.3071,130.3071,127.8171,128.0271,35988000,128.0271
2016-03-23,127.8249,128.6049,127.3049,127.9749,16788000,127.9749
2016-03-24,127.0427,127.9527,126.3027,126.4127,57764000,126.4127
2016-03-25,126.5905,127.0705,126.1005,126.5005,40176000,126.5005
2016-03-28,126.794,127.034,124.334,124.364,50293000,124.364
2016-03-29,124.2918,124.6318,122.6118,122.9418,24378000,122.9418
2016-03-30,123.5896,123.9896,121.3496,122.8096,79810000,122.8096
2016-03-31,122.8474,123.2774,122.5874,122.7574,23616000,122.7574
2016-04-01,122.7252,123.9352,122.7252,123.7852,26374000,123.7852
2016-04-05,123.6064,127.0064,123.5464,126.9064,33485000,126.9064
2016-04-06,126.9742,127.9342,125.9142,126.2342,29281000,126.2342
2016-04-07,126.7121,126.7621,125.2721,125.4921,9016000,125.4921
2016-04-08,125.4899,125.4999,123.7699,124.1899,12377000,124.1899
2016-04-11,125.4633,126.1433,124.2633,125.2333,14016000,125.2333
2016-04-12,125.7611,125.8511,124.0111,124.7511,23493000,124.7511
2016-04-13,124.7589,126.8089,124.7589,126.0589,49719000,126.0589
2016-04-14,126.4567,126.7467,125.0567,125.5067,15932000,125.5067
2016-04-15,125.5045,126.3045,124.5545,126.0545,29140000,126.0545
2016-04-18,126.3279,126.8879,124.9479,125.0579,16636000,125.0579
2016-04-19,133.7458,136.1758,128.2958,129.4158,275122000,129.4158
2016-04-20,129.2436,129.4936,124.3736,125.8736,225997000,125.8736
2016-04-21,125.3714,125.7414,124.8414,125.0414,35348000,125.0414
2016-04-22,124.8392,125.5892,124.7092,124.8792,17955000,124.8792
2016-04-25,125.1026,125.1026,122.4326,122.4526,27605000,122.4526
2016-04-26,122.3604,123.1304,122.3404,122.4604,19587000,122.4604
2016-04-27,122.5582,123.8282,122.5582,123.1182,21943000,123.1182
2016-04-28,123.076,123.326,122.736,123.136,9770000,123.136
2016-04-29,123.1538,123.2138,122.7738,123.0938,5601000,123.0938
2016-05-03,123.0351,123.7751,122.7651,123.4751,7499000,123.4751
2016-05-04,123.3729,123.7129,123.3629,123.4629,4086000,123.4629
2016-05-05,123.4607,124.8407,123.3807,124.7107,10312000,124.7107
2016-05-06,124.7085,125.5785,123.6185,123.9785,10488000,123.9785
2016-05-09,123.2819,123.7619,120.9019,121.1419,33053000,121.1419
2016-05-10,120.3497,121.6797,119.6997,119.8097,20207000,119.8097
2016-05-11,120.0075,120.5675,119.7775,120.0775,6747000,120.0775
2016-05-12,119.7953,120.1553,119.3753,119.9353,16625000,119.9353
2016-05-13,120.4032,120.4032,119.6932,119.7332,2869000,119.7332
2016-05-16,120.0266,120.0266,119.1866,119.9266,5142000,119.9266
2016-05-17,119.8844,120.9544,119.1844,120.1944,19100000,120.1944
