,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2583,000300.SH,20121109,2240.924,2241.756,2252.196,2235.231,2245.405,-4.481,-0.1996,30506968.0,24374277.793
2584,000300.SH,20121108,2245.405,2269.582,2275.401,2245.4,2287.505,-42.1,-1.8404,35426475.0,30411864.845
2585,000300.SH,20121107,2287.505,2288.763,2300.893,2277.02,2292.206,-4.701,-0.2051,33067403.0,30278449.435
2586,000300.SH,20121106,2292.206,2301.98,2304.048,2260.507,2301.88,-9.674,-0.4203,39280627.0,34473381.993
2587,000300.SH,20121105,2301.88,2302.742,2318.231,2290.135,2306.774,-4.894,-0.2122,39510372.0,33663152.794
2588,000300.SH,20121102,2306.774,2297.898,2309.666,2284.719,2297.884,8.89,0.3869,39833288.0,34893875.754
2589,000300.SH,20121101,2297.884,2256.609,2305.629,2256.412,2254.82,43.064,1.9099,50761729.0,45602138.249
2590,000300.SH,20121031,2254.82,2241.432,2256.095,2233.684,2239.882,14.938,0.6669,37169795.0,30634360.248
2591,000300.SH,20121030,2239.882,2236.316,2257.951,2231.776,2235.854,4.028,0.1802,34083125.0,29516628.523
2592,000300.SH,20121029,2235.854,2241.802,2248.139,2227.646,2247.907,-12.053,-0.5362,27581325.0,25328650.697
2593,000300.SH,20121026,2247.907,2291.31,2293.176,2237.059,2291.239,-43.332,-1.8912,40900519.0,34530067.051
2594,000300.SH,20121025,2291.239,2306.733,2322.917,2288.601,2307.779,-16.54,-0.7167,44351531.0,33183528.714
2595,000300.SH,20121024,2307.779,2303.401,2321.43,2302.169,2312.077,-4.298,-0.1859,37542445.0,30392377.974
2596,000300.SH,20121023,2312.077,2340.89,2344.044,2309.252,2341.592,-29.515,-1.2605,37221272.0,33716876.575
2597,000300.SH,20121022,2341.592,2320.468,2347.895,2315.895,2332.47,9.122,0.3911,34368286.0,32815273.277
2598,000300.SH,20121019,2332.47,2335.105,2342.527,2328.733,2336.077,-3.607,-0.1544,35927732.0,33173031.578
2599,000300.SH,20121018,2336.077,2307.487,2341.12,2305.883,2300.803,35.274,1.5331,50615100.0,45050292.53
2600,000300.SH,20121017,2300.803,2307.358,2312.173,2280.818,2298.162,2.641,0.1149,33349409.0,31270899.032
2601,000300.SH,20121016,2298.162,2293.244,2315.453,2287.59,2294.857,3.305,0.144,32059679.0,32705140.504
